@relation SYNCOPE_TR8.arff
@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_DELETED numeric
@attribute AVG_LOC_DELETED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FIXED_DEFECTS numeric
@attribute NUMBER_OF_COMMITS numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'True', 'False'}
@data
90,90,90,90.0,0,0,0.0,90,90,90.0,0,1,1,False
41,41,41,41.0,0,0,0.0,41,41,41.0,0,1,1,False
32,32,32,32.0,0,0,0.0,32,32,32.0,0,1,1,False
33,33,33,33.0,0,0,0.0,33,33,33.0,0,1,1,False
272,292,271,97.33333333333333,20,14,6.666666666666667,274,271,91.33333333333333,0,3,2,False
48,54,41,18.0,6,6,2.0,58,41,19.333333333333332,0,3,2,False
96,102,102,51.0,6,6,3.0,108,102,54.0,0,2,1,False
259,263,209,131.5,4,4,2.0,259,209,129.5,0,2,2,False
69,74,67,37.0,5,5,2.5,69,67,34.5,0,2,2,False
206,210,198,105.0,4,4,2.0,206,198,103.0,0,2,2,False
45,45,45,45.0,0,0,0.0,45,45,45.0,0,1,1,False
70,70,70,70.0,0,0,0.0,70,70,70.0,0,1,1,False
574,584,576,194.66666666666666,10,9,3.3333333333333335,582,576,194.0,0,3,2,False
348,348,348,348.0,0,0,0.0,348,348,348.0,0,1,1,False
495,495,493,247.5,0,0,0.0,495,493,247.5,0,2,2,False
165,166,165,83.0,1,1,0.5,165,165,82.5,0,2,2,False
506,506,506,506.0,0,0,0.0,506,506,506.0,0,1,1,False
121,121,121,121.0,0,0,0.0,121,121,121.0,0,1,1,False
96,96,96,96.0,0,0,0.0,96,96,96.0,0,1,1,False
59,59,59,59.0,0,0,0.0,59,59,59.0,0,1,1,False
856,856,856,856.0,0,0,0.0,856,856,856.0,0,1,1,False
301,323,239,107.66666666666667,22,20,7.333333333333333,301,239,100.33333333333333,0,3,3,False
114,114,114,114.0,0,0,0.0,114,114,114.0,0,1,1,False
112,112,112,112.0,0,0,0.0,112,112,112.0,0,1,1,False
235,235,235,235.0,0,0,0.0,235,235,235.0,0,1,1,True
208,222,179,74.0,14,10,4.666666666666667,208,179,69.33333333333333,0,3,2,False
483,483,483,483.0,0,0,0.0,483,483,483.0,0,1,1,False
216,224,216,112.0,8,8,4.0,216,216,108.0,0,2,2,False
138,138,138,138.0,0,0,0.0,138,138,138.0,0,1,1,False
62,62,62,62.0,0,0,0.0,62,62,62.0,0,1,1,False
154,156,154,78.0,2,2,1.0,154,154,77.0,0,2,2,False
114,114,114,114.0,0,0,0.0,114,114,114.0,0,1,1,False
45,46,45,23.0,1,1,0.5,45,45,22.5,0,2,2,False
82,82,82,82.0,0,0,0.0,82,82,82.0,0,1,1,False
268,299,221,99.66666666666667,31,29,10.333333333333334,272,221,90.66666666666667,0,3,2,False
176,176,176,176.0,0,0,0.0,176,176,176.0,0,1,1,False
37,37,37,37.0,0,0,0.0,37,37,37.0,0,1,1,False
237,245,224,122.5,8,8,4.0,237,224,118.5,0,2,2,False
334,334,334,334.0,0,0,0.0,334,334,334.0,0,1,1,False
263,279,263,139.5,16,16,8.0,263,263,131.5,0,2,2,False
249,261,234,87.0,12,12,4.0,249,234,83.0,0,3,3,False
305,321,309,107.0,16,9,5.333333333333333,321,309,107.0,0,3,2,False
235,244,219,122.0,9,9,4.5,235,219,117.5,0,2,2,False
527,577,553,115.4,50,19,10.0,593,553,118.6,0,5,3,False
195,195,195,195.0,0,0,0.0,195,195,195.0,0,1,1,False
70,85,64,42.5,15,15,7.5,70,64,35.0,0,2,2,False
555,604,537,151.0,49,18,12.25,555,537,138.75,0,4,2,True
110,110,110,110.0,0,0,0.0,110,110,110.0,0,1,1,False
194,194,194,194.0,0,0,0.0,194,194,194.0,0,1,1,False
140,140,140,140.0,0,0,0.0,140,140,140.0,0,1,1,False
100,100,100,100.0,0,0,0.0,100,100,100.0,0,1,1,False
187,187,187,187.0,0,0,0.0,187,187,187.0,0,1,1,False
274,283,262,141.5,9,9,4.5,274,262,137.0,0,2,2,False
174,174,174,174.0,0,0,0.0,174,174,174.0,0,1,1,False
295,318,282,159.0,23,23,11.5,295,282,147.5,0,2,2,False
107,107,107,107.0,0,0,0.0,107,107,107.0,0,1,1,False
357,357,357,357.0,0,0,0.0,357,357,357.0,0,1,1,False
609,629,600,314.5,20,20,10.0,609,600,304.5,0,2,2,False
185,185,185,185.0,0,0,0.0,185,185,185.0,0,1,1,False
34,39,39,19.5,5,5,2.5,44,39,22.0,0,2,2,False
48,51,44,25.5,3,3,1.5,48,44,24.0,0,2,2,False
72,77,66,38.5,5,5,2.5,72,66,36.0,0,2,2,False
201,219,180,54.75,18,14,4.5,201,180,50.25,0,4,2,False
50,52,48,26.0,2,2,1.0,50,48,25.0,0,2,2,False
31,31,31,31.0,0,0,0.0,31,31,31.0,0,1,1,False
31,31,31,31.0,0,0,0.0,31,31,31.0,0,1,1,False
80,86,73,43.0,6,6,3.0,80,73,40.0,0,2,2,False
72,95,64,31.666666666666668,23,21,7.666666666666667,72,64,24.0,0,3,2,False
191,209,181,104.5,18,18,9.0,191,181,95.5,0,2,2,False
111,125,102,41.666666666666664,14,12,4.666666666666667,111,102,37.0,0,3,2,False
72,78,68,39.0,6,6,3.0,72,68,36.0,0,2,2,False
104,110,92,55.0,6,6,3.0,104,92,52.0,0,2,2,False
306,342,300,171.0,36,36,18.0,306,300,153.0,0,2,2,False
193,223,178,74.33333333333333,30,23,10.0,193,178,64.33333333333333,0,3,2,False
60,68,54,22.666666666666668,8,7,2.6666666666666665,60,54,20.0,0,3,2,False
167,188,157,94.0,21,21,10.5,167,157,83.5,0,2,2,True
39,45,37,22.5,6,6,3.0,39,37,19.5,0,2,2,False
48,48,48,48.0,0,0,0.0,48,48,48.0,0,1,1,False
50,50,50,50.0,0,0,0.0,50,50,50.0,0,1,1,False
56,56,56,56.0,0,0,0.0,56,56,56.0,0,1,1,False
48,48,48,48.0,0,0,0.0,48,48,48.0,0,1,1,False
93,93,93,93.0,0,0,0.0,93,93,93.0,0,1,1,False
42,42,42,42.0,0,0,0.0,42,42,42.0,0,1,1,False
43,43,43,43.0,0,0,0.0,43,43,43.0,0,1,1,False
254,254,254,254.0,0,0,0.0,254,254,254.0,0,1,1,False
94,95,94,47.5,1,1,0.5,94,94,47.0,0,2,2,False
67,67,67,67.0,0,0,0.0,67,67,67.0,0,1,1,False
79,79,79,79.0,0,0,0.0,79,79,79.0,0,1,1,False
51,51,51,51.0,0,0,0.0,51,51,51.0,0,1,1,False
67,67,67,67.0,0,0,0.0,67,67,67.0,0,1,1,False
64,64,64,64.0,0,0,0.0,64,64,64.0,0,1,1,False
87,87,87,87.0,0,0,0.0,87,87,87.0,0,1,1,False
46,46,46,46.0,0,0,0.0,46,46,46.0,0,1,1,False
139,140,140,70.0,1,1,0.5,141,140,70.5,0,2,2,False
88,195,190,65.0,107,103,35.666666666666664,292,190,97.33333333333333,0,3,3,False
215,329,322,109.66666666666667,114,112,38.0,429,322,143.0,0,3,3,False
214,214,214,214.0,0,0,0.0,214,214,214.0,0,1,1,False
39,39,39,39.0,0,0,0.0,39,39,39.0,0,1,1,False
168,168,165,84.0,0,0,0.0,168,165,84.0,0,2,2,False
202,202,202,202.0,0,0,0.0,202,202,202.0,0,1,1,False
215,215,215,215.0,0,0,0.0,215,215,215.0,0,1,1,False
149,149,149,149.0,0,0,0.0,149,149,149.0,0,1,1,False
107,107,107,107.0,0,0,0.0,107,107,107.0,0,1,1,False
67,67,67,67.0,0,0,0.0,67,67,67.0,0,1,1,False
158,158,158,158.0,0,0,0.0,158,158,158.0,0,1,1,False
112,112,112,112.0,0,0,0.0,112,112,112.0,0,1,1,False
66,66,66,66.0,0,0,0.0,66,66,66.0,0,1,1,False
155,188,170,62.666666666666664,33,31,11.0,185,170,61.666666666666664,0,3,2,False
192,217,176,36.166666666666664,25,10,4.166666666666667,192,176,32.0,0,6,3,False
123,123,123,123.0,0,0,0.0,123,123,123.0,0,1,1,False
224,241,224,60.25,17,14,4.25,224,224,56.0,0,4,2,False
82,82,82,82.0,0,0,0.0,82,82,82.0,0,1,1,False
72,72,72,72.0,0,0,0.0,72,72,72.0,0,1,1,False
275,303,270,43.285714285714285,28,12,4.0,297,270,42.42857142857143,0,7,3,False
96,99,99,49.5,3,3,1.5,102,99,51.0,0,2,2,False
28,28,28,28.0,0,0,0.0,28,28,28.0,0,1,1,False
164,164,164,164.0,0,0,0.0,164,164,164.0,0,1,1,False
168,168,168,168.0,0,0,0.0,168,168,168.0,0,1,1,False
135,135,135,135.0,0,0,0.0,135,135,135.0,0,1,1,False
88,91,88,45.5,3,3,1.5,88,88,44.0,0,2,1,False
72,72,72,72.0,0,0,0.0,72,72,72.0,0,1,1,False
93,93,93,93.0,0,0,0.0,93,93,93.0,0,1,1,False
242,243,231,121.5,1,1,0.5,242,231,121.0,0,2,2,False
68,68,68,68.0,0,0,0.0,68,68,68.0,0,1,1,False
58,58,58,58.0,0,0,0.0,58,58,58.0,0,1,1,False
40,40,40,40.0,0,0,0.0,40,40,40.0,0,1,1,False
183,195,188,97.5,12,12,6.0,193,188,96.5,0,2,1,False
55,55,55,55.0,0,0,0.0,55,55,55.0,0,1,1,False
356,358,356,179.0,2,2,1.0,356,356,178.0,0,2,1,False
198,209,207,104.5,11,11,5.5,216,207,108.0,0,2,2,False
144,144,122,36.0,0,0,0.0,144,122,36.0,0,4,2,False
40,40,40,40.0,0,0,0.0,40,40,40.0,0,1,1,False
75,75,75,75.0,0,0,0.0,75,75,75.0,0,1,1,False
139,141,139,70.5,2,2,1.0,139,139,69.5,0,2,2,False
145,145,145,145.0,0,0,0.0,145,145,145.0,0,1,1,False
74,74,74,74.0,0,0,0.0,74,74,74.0,0,1,1,False
65,65,65,65.0,0,0,0.0,65,65,65.0,0,1,1,False
51,51,51,51.0,0,0,0.0,51,51,51.0,0,1,1,False
157,157,157,157.0,0,0,0.0,157,157,157.0,0,1,1,False
40,40,40,40.0,0,0,0.0,40,40,40.0,0,1,1,False
152,153,152,76.5,1,1,0.5,152,152,76.0,0,2,2,False
52,52,52,52.0,0,0,0.0,52,52,52.0,0,1,1,False
69,69,69,69.0,0,0,0.0,69,69,69.0,0,1,1,False
74,86,86,43.0,12,12,6.0,98,86,49.0,0,2,1,False
64,64,64,64.0,0,0,0.0,64,64,64.0,0,1,1,False
91,91,91,91.0,0,0,0.0,91,91,91.0,0,1,1,False
139,147,132,73.5,8,8,4.0,139,132,69.5,0,2,2,False
76,76,69,38.0,0,0,0.0,76,69,38.0,0,2,2,False
57,58,55,29.0,1,1,0.5,57,55,28.5,0,2,2,False
62,65,59,32.5,3,3,1.5,62,59,31.0,0,2,2,False
31,31,31,31.0,0,0,0.0,31,31,31.0,0,1,1,False
28,28,28,28.0,0,0,0.0,28,28,28.0,0,1,1,False
70,73,66,36.5,3,3,1.5,70,66,35.0,0,2,2,False
31,31,31,31.0,0,0,0.0,31,31,31.0,0,1,1,False
208,216,196,108.0,8,8,4.0,208,196,104.0,0,2,2,False
19,20,20,20.0,0,0,0.0,20,20,20.0,0,1,1,False
136,144,129,72.0,8,8,4.0,136,129,68.0,0,2,2,False
72,75,69,37.5,3,3,1.5,72,69,36.0,0,2,2,False
57,58,55,29.0,1,1,0.5,57,55,28.5,0,2,2,False
63,66,59,33.0,3,3,1.5,63,59,31.5,0,2,2,False
29,29,29,29.0,0,0,0.0,29,29,29.0,0,1,1,False
28,28,28,28.0,0,0,0.0,28,28,28.0,0,1,1,False
69,72,66,36.0,3,3,1.5,69,66,34.5,0,2,2,False
31,31,31,31.0,0,0,0.0,31,31,31.0,0,1,1,False
420,442,416,221.0,22,22,11.0,420,416,210.0,0,2,2,False
573,605,544,151.25,32,23,8.0,573,544,143.25,0,4,3,False
157,165,150,82.5,8,8,4.0,157,150,78.5,0,2,2,False
72,75,69,37.5,3,3,1.5,72,69,36.0,0,2,2,False
57,58,55,29.0,1,1,0.5,57,55,28.5,0,2,2,False
63,66,59,33.0,3,3,1.5,63,59,31.5,0,2,2,False
31,31,31,31.0,0,0,0.0,31,31,31.0,0,1,1,False
32,32,32,32.0,0,0,0.0,32,32,32.0,0,1,1,False
72,75,69,37.5,3,3,1.5,72,69,36.0,0,2,2,False
32,32,32,32.0,0,0,0.0,32,32,32.0,0,1,1,False
36,36,36,36.0,0,0,0.0,36,36,36.0,0,1,1,False
36,36,36,36.0,0,0,0.0,36,36,36.0,0,1,1,False
36,36,36,36.0,0,0,0.0,36,36,36.0,0,1,1,False
34,34,34,34.0,0,0,0.0,34,34,34.0,0,1,1,False
32,32,32,32.0,0,0,0.0,32,32,32.0,0,1,1,False
36,36,36,36.0,0,0,0.0,36,36,36.0,0,1,1,False
38,38,38,38.0,0,0,0.0,38,38,38.0,0,1,1,False
39,39,39,39.0,0,0,0.0,39,39,39.0,0,1,1,False
37,37,37,37.0,0,0,0.0,37,37,37.0,0,1,1,False
