VERSION,JAVA_CLASS,SIZE,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,LOC_DELETED,MAX_LOC_DELETED,AVG_LOC_DELETED,CHURN,MAX_CHURN,AVG_CHURN,FIXED_DEFECTS,NUMBER_OF_COMMITS,NUMBER_OF_AUTHORS,IS_BUGGY
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,137,150,136,37.5,13,10,3.25,137,136,34.25,0,4,2,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,177,181,176,60.333333333333336,4,2,1.3333333333333333,177,176,59.0,0,3,2,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,46,47,46,23.5,1,1,0.5,46,46,23.0,0,2,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,128,137,127,27.4,9,5,1.8,128,127,25.6,0,5,3,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,149,152,148,50.666666666666664,3,2,1.0,149,148,49.666666666666664,0,3,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,58,59,58,29.5,1,1,0.5,58,58,29.0,0,2,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,149,152,149,76.0,3,3,1.5,149,149,74.5,0,2,2,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,74,78,74,39.0,4,4,2.0,74,74,37.0,0,2,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,37,37,37,37.0,0,0,0.0,37,37,37.0,0,1,1,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,38,40,38,20.0,2,2,1.0,38,38,19.0,0,2,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,39,40,39,20.0,1,1,0.5,39,39,19.5,0,2,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,96,107,95,26.75,11,5,2.75,96,95,24.0,0,4,2,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,88,91,87,30.333333333333332,3,2,1.0,88,87,29.333333333333332,0,3,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,71,78,70,19.5,7,3,1.75,71,70,17.75,0,4,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,114,123,113,30.75,9,4,2.25,114,113,28.5,0,4,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,336,414,329,69.0,78,35,13.0,336,329,56.0,0,6,3,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,84,93,83,23.25,9,5,2.25,84,83,21.0,0,4,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,58,63,58,21.0,5,3,1.6666666666666667,58,58,19.333333333333332,0,3,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,123,130,122,32.5,7,4,1.75,123,122,30.75,0,4,2,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,369,369,369,369.0,0,0,0.0,369,369,369.0,0,1,1,True
