DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
BOOKKEEPER,5,77.89133942980096,IBK,BEST_FIRST,UNDERSAMPLING,NONE,0.27049180327868855,0.6346153846153846,0.7079494321834154,0.24543569170094862,33.0,89.0,270.0,19.0
BOOKKEEPER,5,77.89133942980096,IBK,NONE,NONE,NONE,0.5769230769230769,0.28846153846153844,0.7441075637454467,0.32792805069155834,15.0,11.0,348.0,37.0
BOOKKEEPER,5,77.89133942980096,IBK,NONE,OVERSAMPLING,NONE,0.3230769230769231,0.40384615384615385,0.7299389329333619,0.25411958283930597,21.0,44.0,315.0,31.0
BOOKKEEPER,5,77.89133942980096,IBK,NONE,UNDERSAMPLING,NONE,0.2727272727272727,0.6346153846153846,0.7364206128133705,0.24850048702130922,33.0,88.0,271.0,19.0
BOOKKEEPER,6,81.3566739606127,IBK,GREEDY_BACKWARD_SEARCH,NONE,NONE,0.36666666666666664,0.275,0.7444300518134715,0.25426695842450797,11.0,19.0,367.0,29.0
BOOKKEEPER,6,81.3566739606127,IBK,GREEDY_BACKWARD_SEARCH,OVERSAMPLING,NONE,0.23636363636363636,0.325,0.7279145077720207,0.18508455780426947,13.0,42.0,344.0,27.0
BOOKKEEPER,6,81.3566739606127,IBK,GREEDY_BACKWARD_SEARCH,UNDERSAMPLING,NONE,0.19230769230769232,0.5,0.6794365284974093,0.16445383222691626,20.0,84.0,302.0,20.0
BOOKKEEPER,6,81.3566739606127,IBK,BEST_FIRST,NONE,NONE,0.36,0.225,0.7403497409326425,0.2206305955624755,9.0,16.0,370.0,31.0
BOOKKEEPER,6,81.3566739606127,IBK,BEST_FIRST,OVERSAMPLING,NONE,0.24528301886792453,0.325,0.7325777202072539,0.19322742947594546,13.0,40.0,346.0,27.0
BOOKKEEPER,6,81.3566739606127,IBK,BEST_FIRST,UNDERSAMPLING,NONE,0.20408163265306123,0.5,0.6876295336787565,0.180576273847845,20.0,78.0,308.0,20.0
BOOKKEEPER,6,81.3566739606127,IBK,NONE,NONE,NONE,0.5,0.325,0.7790479274611399,0.34552158549700396,13.0,13.0,373.0,27.0
BOOKKEEPER,6,81.3566739606127,IBK,NONE,OVERSAMPLING,NONE,0.35714285714285715,0.5,0.8084844559585492,0.344903339191564,20.0,36.0,350.0,20.0
BOOKKEEPER,6,81.3566739606127,IBK,NONE,UNDERSAMPLING,NONE,0.2,0.55,0.7202072538860104,0.1804718693284935,22.0,88.0,298.0,18.0
BOOKKEEPER,1,43.67245657568238,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,NONE,NONE,NaN,0.0,0.5,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,OVERSAMPLING,NONE,NaN,0.0,0.5,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,UNDERSAMPLING,NONE,NaN,0.0,0.5,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,RANDOM_FOREST,BEST_FIRST,NONE,NONE,NaN,0.0,0.5,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,RANDOM_FOREST,BEST_FIRST,OVERSAMPLING,NONE,NaN,0.0,0.5,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,RANDOM_FOREST,BEST_FIRST,UNDERSAMPLING,NONE,NaN,0.0,0.5,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,RANDOM_FOREST,NONE,NONE,NONE,NaN,0.0,0.5,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,RANDOM_FOREST,NONE,OVERSAMPLING,NONE,NaN,0.0,0.5,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,RANDOM_FOREST,NONE,UNDERSAMPLING,NONE,NaN,0.0,0.5,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,2,56.44257703081232,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,NONE,NONE,0.3333333333333333,0.016666666666666666,0.6562749003984064,0.013622419799303212,1.0,2.0,249.0,59.0
BOOKKEEPER,2,56.44257703081232,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,OVERSAMPLING,NONE,0.25,0.05,0.62566401062417,0.020332187857961107,3.0,9.0,242.0,57.0
