DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
SYNCOPE,5,80.77549690452916,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.1945945945945946,0.9908256880733946,0.5307558793797326,0.023820955054104958,108.0,447.0,34.0,1.0
SYNCOPE,5,80.77549690452916,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,NONE,0.28061224489795916,0.5045871559633027,0.6199908447614869,0.1615775895993353,55.0,141.0,340.0,54.0
SYNCOPE,5,80.77549690452916,IBK,NONE,NONE,SENSITIVE_LEARNING,0.0,0.0,0.498960498960499,-0.0033703348690516566,0.0,1.0,480.0,109.0
SYNCOPE,5,80.77549690452916,IBK,NONE,NONE,NONE,0.0,0.0,0.6028819927902497,-0.0033703348690516566,0.0,1.0,480.0,109.0
SYNCOPE,5,80.77549690452916,IBK,NONE,OVERSAMPLING,SENSITIVE_LEARNING,0.0,0.0,0.498960498960499,-0.0033703348690516566,0.0,1.0,480.0,109.0
SYNCOPE,5,80.77549690452916,IBK,NONE,OVERSAMPLING,NONE,0.0,0.0,0.6110263403841385,-0.0033703348690516566,0.0,1.0,480.0,109.0
SYNCOPE,5,80.77549690452916,IBK,NONE,SMOTE,SENSITIVE_LEARNING,0.0,0.0,0.4968814968814969,-0.009996026044691674,0.0,3.0,478.0,109.0
SYNCOPE,5,80.77549690452916,IBK,NONE,SMOTE,NONE,0.0,0.0,0.6009174311926605,-0.009996026044691674,0.0,3.0,478.0,109.0
SYNCOPE,5,80.77549690452916,IBK,NONE,UNDERSAMPLING,SENSITIVE_LEARNING,0.1847457627118644,1.0,0.5,0.0,109.0,481.0,0.0,0.0
SYNCOPE,5,80.77549690452916,IBK,NONE,UNDERSAMPLING,NONE,0.24829931972789115,0.6697247706422018,0.6051326555913712,0.12694756964036896,73.0,221.0,260.0,36.0
SYNCOPE,6,83.10316815597075,IBK,BEST_FIRST_FORWARD,NONE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,570.0,54.0
SYNCOPE,6,83.10316815597075,IBK,BEST_FIRST_FORWARD,NONE,NONE,NaN,0.0,0.718404808317089,0.0,0.0,0.0,570.0,54.0
SYNCOPE,6,83.10316815597075,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.0,0.0,0.49912280701754386,-0.0031567870922484683,0.0,1.0,569.0,54.0
SYNCOPE,6,83.10316815597075,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,NONE,0.0,0.0,0.6456952566601689,-0.0031567870922484683,0.0,1.0,569.0,54.0
SYNCOPE,6,83.10316815597075,IBK,BEST_FIRST_FORWARD,SMOTE,SENSITIVE_LEARNING,0.0,0.0,0.4964912280701754,-0.0120805369127522,0.0,4.0,566.0,54.0
SYNCOPE,6,83.10316815597075,IBK,BEST_FIRST_FORWARD,SMOTE,NONE,0.0,0.0,0.6541098115659519,-0.0120805369127522,0.0,4.0,566.0,54.0
SYNCOPE,6,83.10316815597075,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.08366533864541832,0.7777777777777778,0.4853801169590643,-0.006149053045830946,42.0,460.0,110.0,12.0
