@relation BOOKKEEPER_TRAINING_2.arff
@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_DELETED numeric
@attribute AVG_LOC_DELETED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FIXED_DEFECTS numeric
@attribute NUMBER_OF_COMMITS numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'True', 'False'}
@data
41,42,41,21.0,1,1,0.5,41,41,20.5,0,2,2,False
105,155,104,51.666666666666664,50,48,16.666666666666668,105,104,35.0,0,3,2,False
105,148,103,29.6,43,39,8.6,105,103,21.0,0,5,3,False
92,126,91,31.5,34,31,8.5,92,91,23.0,0,4,3,False
101,151,100,50.333333333333336,50,48,16.666666666666668,101,100,33.666666666666664,0,3,2,False
45,45,45,45.0,0,0,0.0,45,45,45.0,0,1,1,False
289,290,289,145.0,1,1,0.5,289,289,144.5,0,2,2,False
32,35,31,17.5,3,3,1.5,32,31,16.0,0,2,2,False
111,111,111,111.0,0,0,0.0,111,111,111.0,0,1,1,False
35,36,35,18.0,1,1,0.5,35,35,17.5,0,2,2,False
81,81,81,81.0,0,0,0.0,81,81,81.0,0,1,1,False
27,27,27,27.0,0,0,0.0,27,27,27.0,0,1,1,False
28,28,28,28.0,0,0,0.0,28,28,28.0,0,1,1,False
29,30,29,15.0,1,1,0.5,29,29,14.5,0,2,2,False
566,600,561,150.0,34,32,8.5,566,561,141.5,0,4,3,False
64,80,64,40.0,16,16,8.0,64,64,32.0,0,2,2,False
29,30,29,15.0,1,1,0.5,29,29,14.5,0,2,2,False
64,65,64,32.5,1,1,0.5,64,64,32.0,0,2,2,False
37,40,37,20.0,3,3,1.5,37,37,18.5,0,2,2,False
68,79,68,39.5,11,11,5.5,68,68,34.0,0,2,2,False
154,165,153,55.0,11,9,3.6666666666666665,154,153,51.333333333333336,0,3,2,False
72,73,72,36.5,1,1,0.5,72,72,36.0,0,2,2,False
385,400,364,66.66666666666667,15,8,2.5,385,364,64.16666666666667,0,6,3,False
76,78,76,39.0,2,2,1.0,76,76,38.0,0,2,2,False
159,163,158,54.333333333333336,4,2,1.3333333333333333,159,158,53.0,0,3,2,False
737,886,736,295.3333333333333,149,144,49.666666666666664,737,736,245.66666666666666,0,3,2,False
74,76,74,38.0,2,2,1.0,74,74,37.0,0,2,2,False
94,97,93,32.333333333333336,3,2,1.0,94,93,31.333333333333332,0,3,2,False
22,22,22,22.0,0,0,0.0,22,22,22.0,0,1,1,False
427,439,426,146.33333333333334,12,10,4.0,427,426,142.33333333333334,0,3,2,False
62,62,62,62.0,0,0,0.0,62,62,62.0,0,1,1,False
58,59,58,29.5,1,1,0.5,58,58,29.0,0,2,2,False
91,96,91,48.0,5,5,2.5,91,91,45.5,0,2,2,False
27,28,27,14.0,1,1,0.5,27,27,13.5,0,2,2,False
77,79,77,39.5,2,2,1.0,77,77,38.5,0,2,2,False
704,742,703,247.33333333333334,38,36,12.666666666666666,704,703,234.66666666666666,0,3,2,False
63,67,63,33.5,4,4,2.0,63,63,31.5,0,2,2,False
37,37,37,37.0,0,0,0.0,37,37,37.0,0,1,1,False
64,65,64,32.5,1,1,0.5,64,64,32.0,0,2,2,False
124,127,124,63.5,3,3,1.5,124,124,62.0,0,2,2,False
160,167,159,41.75,7,3,1.75,160,159,40.0,0,4,2,False
36,41,36,20.5,5,5,2.5,36,36,18.0,0,2,2,False
58,60,57,30.0,2,2,1.0,58,57,29.0,0,2,2,False
62,62,62,62.0,0,0,0.0,62,62,62.0,0,1,1,False
130,142,129,35.5,12,8,3.0,130,129,32.5,0,4,2,False
74,76,73,38.0,2,2,1.0,74,73,37.0,0,2,2,False
83,86,82,28.666666666666668,3,2,1.0,83,82,27.666666666666668,0,3,2,False
